,종류,공고번호,발견장소,특징,성별,상태
4264,서울-광진-2024-00194,동대부여고,없음,수컷,방사,코숏|검정줄무늬
4268,경남-창원-2024-00496,(상남동)상남로 7..,없음,미상,포획,한국고양이|갈색
4272,경남-창원-2024-00502,(대방동)대암로 8..,없음,미상,포획,한국고양이|노랑 흰색
4276,전남-나주-2024-00127,나주시 다시면 문동..,온순함,암컷,방사,한국고양이|삼색
4280,경남-창원-2024-00500,(남양동)대암로 8..,없음,미상,포획,한국고양이|노랑
4284,광주-북구-2024-00140,북구 신촌샛강길 1..,없음,수컷,방사,코숏|흰.갈
4288,서울-중랑-2024-00348,사가정로455길18..,없음,암컷,방사,코숏|노랑갈색
4292,경기-남양주-2024-01015,지둔로 149-1,없음,암컷,방사,ksh|고등어
4296,광주-광주광역시-2024-00659,남구 월산교회 11..,없음,수컷,방사,코숏|검.흰
4300,충남-아산-2024-00990,둔포면 아산밸리중앙..,없음,암컷,방사,고등어|고등어
4304,경기-광주-2024-00729,광주시 초월읍 무갑..,길고양이,수컷,방사,한국고양이|검백색
4308,경기-남양주-2024-01005,경춘낚시터,없음,암컷,방사,ksh|검정색 흰색
4312,경남-마산-2024-00671,(구암동)구암북4길..,없음,미상,포획,한국고양이|회색 흰색
4316,충남-아산-2024-00991,부엉산길53번길 6..,없음,수컷,방사,"젖소|흰색,검정색"
4320,광주-광주광역시-2024-00634,북구 오치동 우성아..,없음,수컷,방사,코숏|흰.노
4324,광주-북구-2024-00142,북구 두암동 대주빌..,없음,암컷,중성화,코숏|흰.고등
4328,전남-나주-2024-00120,나주시반남면청송로3..,약간 사나움,암컷,방사,한국고양이|갈색
4332,광주-남구-2024-00061,광주광역시 남구 월..,특이사항 없음,수컷,중성화,"코리안숏헤어|흰색, 검정색"
4336,전남-나주-2024-00128,나주시 다시면 문동..,온순함,암컷,방사,한국고양이|삼색
4340,서울-광진-2024-00192,대동아파트,없음,암컷,방사,코숏|흰색검정
4344,전남-나주-2024-00126,나주시 다시면 문동..,온순함,암컷,방사,한국고양이|흰색에 노란색줄무늬
4348,충남-아산-2024-00989,둔포면 아산밸리중앙..,없음,수컷,방사,"젖소|흰색,검정색"
4352,경기-남양주-2024-01016,화도 신명 푸른솔 ..,없음,수컷,방사,ksh|흰색 노랑얼룩
4356,경기-의왕-2024-00138,고천 다구역 재개발..,없음,암컷,방사,코숏|고등어
4360,서울-광진-2024-00193,대동아파트,없음,수컷,방사,코숏|노랑흰색
4364,광주-광주광역시-2024-00660,남구 월산교회 11..,없음,수컷,방사,코숏|검.흰
4368,경북-울진-2024-00068,경상북도 울진군 금..,길고양이,암컷,방사,한국고양이|회색
4372,경기-파주-2024-00327,당하2길 73-20..,겁이많음.,수컷,방사,코숏|고등어
4376,경기-광명-2024-00274,경기도 광명시 아방..,없음,수컷,방사,코리안숏헤어|노랭이
4380,서울-송파-2024-00516,마천동 146-7/..,N/A,수컷,방사,DSH|black/white
4384,서울-송파-2024-00525,마천동 146-7/..,임신,암컷,방사,DSH|black/white
4388,서울-송파-2024-00529,올림픽공원/1-89..,N/A,암컷,방사,DSH|khaki tabby/white
4392,서울-강북-2024-00296,"인수봉로72길4,극..",이상없음,암컷,방사,한국고양이|흰/검
4396,경기-수원-2024-00292,곡반정동 387-3..,.,수컷,방사,한국고양이|백치즈
4400,서울-은평-2024-00269,불광로 50-11,구내염,수컷,방사,코숏|노랑오렌지
4404,서울-동대문-2024-00198,왕산로 19가길 6..,특이사항 없음,수컷,방사,코리안 숏헤어|고등어
4408,서울-강북-2024-00293,"인수봉로72길4,극..",이상없음,수컷,방사,한국고양이|치즈
4412,인천-부평-2024-00103,인천광역시 부평구 ..,부평동10-687 ..,수컷,방사,코솟|삼색
4416,서울-강북-2024-00292,"인수봉로72길4,극..",이상없음,암컷,방사,한국고양이|흰/검
4420,경기-광명-2024-00271,경기도 광명시 아방..,없음,수컷,방사,코리안숏헤어|턱시도
4424,서울-은평-2024-00266,응암로 14길 18..,-,수컷,방사,코숏|회갈색하양
4428,경기-광명-2024-00272,경기도 광명시 아방..,없음,수컷,방사,코리안숏헤어|노랭이
4432,서울-강서-2024-00169,화곡동1049-47..,양호,수컷,방사,ksh|턱시도
4436,경기-용인-2024-01056,신봉1로344번길 ..,없음,미상,포획,코숏|검정
4440,서울-성동-2024-00155,래미안옥수리버젠@,없음,수컷,방사,KSH|Tabby/흰색
4444,경기-시흥-2024-00357,은계로142번길19..,약간순함,암컷,방사,코숏|흰+고등어
4448,서울-은평-2024-00263,갈현로7가길 13,눈꼽심함,수컷,방사,코숏|하양.회갈색
4452,경기-양평-2024-00591,경기도 양평군 개군..,매우 깨끗한 상태이..,수컷,방사,한국|갈백색
4456,경기-용인-2024-01055,신봉동 759-37..,없음,미상,포획,코숏|치즈
4460,서울-은평-2024-00260,증산로9길 10,-,암컷,방사,코숏|노랑하양
4464,서울-은평-2024-00258,은평터널로 7길 6..,-,암컷,방사,코숏|하양회갈색검정
4468,전북-군산-2024-00374,동산중 후문,-,수컷,방사,코리안숏헤어|턱시도
4472,경기-양평-2024-00590,경기도 양평군 개군..,수컷중에서도 매우 ..,수컷,방사,한국|고등어
4476,경기-화성-2024-00995,효행로 434,없음,수컷,방사,"코숏|검,흰"
4480,경기-화성-2024-00994,효행로 434,없음,암컷,방사,코숏|삼색
4484,경기-용인-2024-01053,수지 법륜사_01,없음,미상,포획,코숏|고등어
4488,경기-수원-2024-00303,파장동 399-1 ..,.,수컷,방사,코숏|고등어
4492,경기-수원-2024-00301,파장동 399-1 ..,.,수컷,방사,코숏|치즈태비
4496,경기-화성-2024-00992,효행로 434,없음,수컷,방사,코숏|치즈
4500,경기-화성-2024-00997,효행로 434,없음,수컷,방사,"코숏|검,흰"
4504,충북-영동-2024-00042,충북 영동군 황간면..,사나움,암컷,방사,"한국산|yellow,white"
4508,경북-문경-2024-00168,흥덕,순하나 경계함,암컷,방사,한국고양이|흑갈색
4512,경기-수원-2024-00300,파장동 100-2 ..,.,수컷,방사,코숏|젖소
4516,충북-영동-2024-00051,충북 영동군 황간면..,사나움,수컷,방사,"한국산|yellow,white"
4520,경기-수원-2024-00299,파장동 100-2 ..,.,수컷,방사,코숏|턱시도
